actor_url,actor_name,actor_gender,actor_race
https://www.imdb.com/name/nm0452288,Margot Kidder,CF,W
https://www.imdb.com/name/nm0000654,Terence Stamp,CM,W
https://www.imdb.com/name/nm0674781,Valerie Perrine,CF,W
https://www.imdb.com/name/nm0178114,Jackie Cooper,CM,W
https://www.imdb.com/name/nm0235243,Sarah Douglas,CF,W
https://www.imdb.com/name/nm0550855,E.G. Marshall,CM,W
https://www.imdb.com/name/nm0641172,Jack O'Halloran,CM,W
https://www.imdb.com/name/nm0727300,Shane Rimmer,CM,W
https://www.imdb.com/name/nm0000885,Ned Beatty,CM,W
https://www.imdb.com/name/nm0001652,John Ratzenberger,CM,W
https://www.imdb.com/name/nm0566013,Marc McClure,CM,W
https://www.imdb.com/name/nm0503236,Richard LeParmentier,CM,W
https://www.imdb.com/name/nm0001640,Richard Pryor,CM,B
https://www.imdb.com/name/nm0559922,Al Matthews,CM,B
https://www.imdb.com/name/nm0056770,Adriana Barraza,CF,L
https://www.imdb.com/name/nm0913682,Jerry Wasserman,CM,W
https://www.imdb.com/name/nm0432228,Alessandro Juliani,CM,?
https://www.imdb.com/name/nm1570191,Agam Darshi,CM,A
https://www.imdb.com/name/nm0123509,Alex Burton,CM,W
https://www.imdb.com/name/nm0000288,Christian Bale,CM,
https://www.imdb.com/name/nm0000553,Liam Neeson,CM,
https://www.imdb.com/name/nm0005017,Katie Holmes,CF,
https://www.imdb.com/name/nm0000323,Michael Caine,CM,
https://www.imdb.com/name/nm0000198,Gary Oldman,CM,
https://www.imdb.com/name/nm0614165,Cillian Murphy,CM,
https://www.imdb.com/name/nm0913822,Ken Watanabe,CM,
https://www.imdb.com/name/nm0000442,Rutger Hauer,CM,
https://www.imdb.com/name/nm0929489,Tom Wilkinson,CM,
https://www.imdb.com/name/nm0000151,Morgan Freeman,,
https://www.imdb.com/name/nm0730070,Linus Roache,CM,
https://www.imdb.com/name/nm0095478,Mark Boone Junior,CM,
https://www.imdb.com/name/nm0784884,Rade Serbedzija,CM,
https://www.imdb.com/name/nm0568801,Colin McFarlane,CM,
https://www.imdb.com/name/nm0751301,Lucy Russell,CF,
https://www.imdb.com/name/nm0692058,Catherine Porter,CF,
